Aphromoo	455	8166	99.01	52499 	147	1,386	1,129
FGSky	456	8161	97.81	120902 	38	416	464
Konoha-chan	457	8157	99.30	42120 	612	1,460	514
monome	458	8156	96.55	25035 	7	608	440
KafuuChino	459	8154	98.18	11769 	11	383	410
Hippo	460	8153	99.04	32275 	60	599	854
Resia	461	8153	97.02	68821 	43	1,392	710
lorelai	462	8152	97.92	110690 	6	902	1,074
Noname0	463	8152	99.12	61097 	114	1,032	1,194
ToLove	464	8150	99.04	53058 	119	771	419
Adam_tw	465	8145	98.69	103950 	125	823	593
younited	466	8141	99.30	37631 	38	655	283
[_Yozzied_]	467	8140	98.54	79219 	169	2,484	808
egemenbsrms	468	8136	98.54	48791 	26	343	691
Tem	469	8134	98.25	25482 	41	438	643
KHRiku	470	8134	98.19	52614 	89	867	506
Cremation	471	8128	98.64	173752 	727	3,094	1,709
gigagamer37	472	8127	99.53	53761 	300	1,100	941
funky_enough	473	8126	98.28	63207 	10	923	921
Derposoft	474	8123	98.23	37903 	44	999	814
Aeril	475	8121	99.03	87751 	30	465	574
black1207	476	8119	98.97	85061 	142	1,860	812
benki	477	8118	98.98	52503 	30	1,008	1,107
Crystal	478	8117	98.94	78160 	659	3,183	601
Akane-Yuki	479	8114	98.81	48409 	73	1,007	645
ikaNyai	480	8112	97.58	24965 	330	260	350
Spork_Lover	481	8109	98.75	62184 	141	1,294	1,258
Crybaby	482	8108	98.29	130446 	30	545	576
benjacala	483	8108	99.00	138158 	109	1,894	1,214
[_KamKurGi521_]	484	8107	98.00	63514 	42	795	396
-Kupo-	485	8107	98.44	50874 	59	1,001	1,076
Yuh	486	8107	99.57	45187 	660	1,322	119
ncuh	487	8106	99.18	158989 	237	1,850	902
Veth	488	8106	99.30	78103 	118	641	628
TaNaBaTa	489	8105	98.79	109363 	187	1,754	1,420
Ralyks	490	8103	97.53	37254 	10	548	491
crisco13	491	8102	99.09	90737 	36	587	711
Doginator	492	8100	99.16	55463 	45	541	490
Shigure_chan	493	8099	98.94	56702 	106	1,587	692
Icyteru	494	8092	99.26	93603 	50	1,147	743
