kuu01,10914,98.39,122247,50,1204,1786
Freezd,10912,99.28,76542,91,582,778
flae,10908,97.73,119092,92,482,433
CrtReXn,10891,99.18,136241,157,2216,2205
Zestiny,10890,95.48,77264,57,1221,1863
Rulyz,10887,99.38,15009,15,210,436
kirby mix,10885,98.51,142991,129,978,1449
Neta,10884,98.91,119327,366,4356,175
Suva,10882,97.72,155678,81,992,1047
gissirianko,10876,98.30,100092,149,1351,749
Tarulas,10874,98.77,89890,51,1125,594
intenseGoat,10873,98.45,78417,46,637,802
Diallo,10873,98.25,92120,78,832,1769
Beafowl,10869,99.40,114120,311,972,595
ruirui,10866,98.45,64420,40,529,662
TheOmyNomy,10865,99.10,98210,367,1627,438
Shpry,10858,96.57,82298,17,350,504
Chamosiala,10855,98.97,76194,413,2156,1624
BAKKALO,10853,97.51,111587,69,1070,1523
KevstracK,10852,98.08,103638,81,1015,1219
boleks,10852,99.27,131166,123,1717,1099
tomadoi,10847,98.76,78063,286,2014,1468
ASecretWaffle,10844,99.01,140656,89,1890,1331
dejiz,10842,97.20,53499,61,518,746
Gala,10841,98.43,89325,30,435,774
Math God,10826,97.27,96837,6,259,432
Xeltol,10825,98.39,97240,137,549,629
esio,10824,97.66,44280,13,653,358
Mayoler,10819,98.93,122856,190,2293,834
-Lane-,10818,98.49,73866,66,1010,1751
Zekker,10813,98.78,89715,712,767,650
PikaPwn,10808,99.32,73814,120,1035,1144
NerO,10806,98.02,128782,158,1766,1032
Shikke,10804,98.44,20044,51,288,423
kevjn,10803,98.42,34639,23,257,532
OPJames,10802,99.11,82896,59,951,1118
R1K50N,10799,96.38,59137,8,560,1421
Ranked,10798,95.89,68114,87,1595,1428
FreeZeR,10797,98.64,50963,150,1252,1322
MrFuture,10788,98.67,103885,116,559,608
Autistic Kid,10787,98.57,71051,44,757,1066
sinon,10786,97.49,117936,107,756,1165
Vettel,10786,99.02,228259,359,2214,1205
Alusim,10785,93.56,72860,28,788,583
MioMilo,10784,99.16,155274,255,2394,1768
Yellowl,10784,99.61,94949,245,1208,470
Thorfinn,10783,97.80,81048,42,595,378
FeriOP,10780,98.98,148256,132,1533,2416
Stunar,10778,96.00,74397,17,331,946
-Dylson-,10777,99.36,102543,123,2072,847
Anroyz,10773,98.44,180486,66,1108,1816
-Din-,10772,98.43,104386,41,590,1306
Shaiden,10767,98.60,80171,75,1134,630
Banakorrrr,10766,96.40,58886,26,491,821
mReKk,10766,95.88,35300,37,435,340
VilaZ,10757,98.10,57287,63,1315,1293
FeeDyy,10757,98.75,53241,43,809,1915
[ Hyung ],10752,99.43,73248,72,1425,1161
-Felix,10746,95.42,107460,29,783,768
Plz Enjoy Game,10740,97.88,97053,408,3881,3122
gerom,10740,98.14,79239,216,1227,1701
NeruNeru,10731,96.65,113425,116,1733,699
VanillaYuki,10729,97.53,63653,10,606,642
Boggles,10728,97.66,75090,148,1550,1032
- Phantasma -,10721,97.40,122330,223,1784,1619
Shizuru-,10720,97.59,100827,5,104,145
Akashii,10717,98.03,86612,39,262,309
MiruHong,10714,99.23,141648,392,910,608
DoKito,10713,99.29,89717,108,1852,2083
Veth,10712,99.37,111714,419,1057,826
HaruTachi-,10712,98.26,50927,23,487,1079
Petal,10711,96.88,65603,43,698,673
follon,10711,98.94,101316,274,1098,1026
Kalal331,10705,97.46,52697,20,610,1430
alkalde,10699,97.51,90809,91,1108,1141
Milo Milkshake,10698,98.27,75366,63,946,1312
hshs,10692,98.72,179120,290,2831,1501
Ephix,10691,97.98,117786,1,1706,278
_Riffo,10690,97.41,90648,89,858,876
waaiiru,10690,98.44,210285,151,1824,1729
Anze,10686,98.17,172672,312,1778,993
Crisco,10682,98.75,149122,48,783,994
Astana,10681,97.67,88980,18,712,880
pajwoj,10675,98.66,136727,334,1833,1302
zeluaR,10669,99.34,149841,483,2495,102
Toyota Wellman,10667,97.93,55329,22,179,369
-Nanahira-,10666,98.54,98597,114,1605,1088
Emperorpenguin83,10663,99.32,116755,201,2517,1184
Rekaru,10663,99.33,91289,332,1787,1023
Shye,10661,96.21,39284,0,449,1031
MKSA,10660,98.71,55575,171,959,1064
GIDZ,10653,98.38,181728,245,2500,1295
haga1115,10652,98.49,89822,158,926,1696
Article,10647,96.39,55266,3,297,541
Resh,10641,97.35,97347,35,534,1080
Ceja,10637,99.44,79372,359,501,244
Kaido,10635,99.35,103468,62,291,640
Firstus,10633,98.76,84891,212,2746,1819
rinkon,10630,98.85,179510,178,3304,1015
Cellina,10626,98.97,132353,45,699,690
Apo11o,10626,96.42,93461,83,1074,734
woo6821,10620,97.85,67101,10,217,324
Electrovoid,10615,98.04,53210,15,855,1198
unko,10608,95.82,72300,162,551,740
Sanjilift,10604,98.21,158158,27,1030,1015
Mistya,10596,99.16,125476,247,1530,1200
kyle,10593,98.22,136628,12,1125,1553
jackylam5,10592,98.15,130622,163,2697,1011
[ nong422 ],10591,98.25,65311,70,809,546
Thundur,10587,97.23,185314,325,1418,2232
LittleDan,10586,98.87,67385,49,699,234
-Kazuki-,10586,98.62,147675,559,1598,1291
respektive,10582,98.94,96633,359,2311,1528
Hippo,10582,98.42,46732,69,742,1444
MINEMINE,10578,99.09,42022,106,911,426
-HD,10573,97.59,161894,14,411,1144
Doomsday,10571,98.28,297274,933,7571,2176
Big Z,10569,98.46,114541,309,1552,1144
SunFesta,10566,95.95,61373,151,570,852
Elysion,10563,97.95,117247,36,846,2016
waywern2012,10562,98.32,85391,143,1312,2035
ShotgunApe,10561,97.21,84122,77,765,951
Asde26,10561,97.52,104395,102,1023,989
Tsundoge,10557,97.36,98638,51,583,1544
Passara,10548,98.24,126705,21,2079,2115
TrueC1e4rFanboy,10547,97.43,49963,7,74,146
twoj stary,10546,98.86,102860,124,1159,1372
Aoba Karingo,10545,98.23,170890,34,838,859
Kelathis,10543,96.27,79336,38,360,608
Serena,10541,99.17,107389,728,1544,769
TheKid217,10540,99.53,119559,1023,1957,1764
r0ck,10540,99.05,118747,283,2943,1453
kage,10529,98.27,13862,26,243,586
---Mikoto,10529,95.97,107755,29,1366,1064
Shinkei,10526,97.28,71979,0,461,437
KyoouN,10521,98.93,132248,38,842,846
LogicSystem,10520,98.74,95829,70,1117,1861
Rhythmical,10517,98.63,76052,24,529,958
MegaMK,10506,98.14,121684,86,797,586
Detze,10500,96.42,112379,277,1491,1346
gasanww,10500,99.48,271679,2020,4623,680
Ahmnesia,10499,98.28,92491,109,1196,1519
Yowo,10498,98.40,70230,109,923,1097
Squapple,10496,98.84,54908,27,720,759
Twintail,10495,98.95,116363,2305,1528,522
LightsOut,10494,95.82,109945,140,1066,820
Ranie,10490,100.00,41330,434,0,0
Reina-,10485,98.09,68097,64,223,330
Rexeez,10482,99.17,67338,72,1251,1569
Gaiava,10482,98.53,94963,35,1534,1337
trevrasher,10480,98.66,47127,67,1084,1106
lespi6,10480,98.13,98904,103,1566,3669
Kenraali,10476,97.21,129442,39,773,698
Toke,10473,98.80,413045,86,1636,2501
No01,10473,98.54,179220,195,2244,1529
KagenoKami,10467,98.35,80728,29,556,656
Corim,10466,99.73,70196,561,1493,1180
Szatano,10465,96.42,33531,25,601,1067
Medicals,10462,98.62,50496,16,488,601
Riushi,10460,97.57,189076,71,2231,1429
Riven,10455,99.19,193538,340,2097,733
My Angel Jeremy,10454,97.72,69173,48,1259,1469
gonzup,10450,99.69,32054,153,340,2
sk0,10450,99.46,98105,288,1654,1383
wavezz,10442,99.09,87650,324,1676,1074
Kim Dahyun,10442,97.13,86155,162,643,627
DraguinZZ,10439,97.87,135399,70,1464,1942
Lexion,10437,98.94,97843,338,2165,2926
Worne,10435,99.41,166602,1429,3431,207
sayonara-bye,10433,98.79,121022,193,2508,1047
ExLeaF,10430,98.20,78595,56,746,734
s3552515,10426,98.84,84957,31,844,676
Jared on osu,10424,97.52,107122,29,1110,993
Riuzaky,10424,97.94,96005,41,568,744
Maffe,10421,97.56,77771,102,1198,1484
Tikef,10421,99.20,71761,52,918,1130
DuNai,10420,98.44,108692,56,1932,1625
JustMan,10416,98.73,56910,279,1382,730
Hundur,10415,98.98,139768,93,1107,1714
SneakY NickY,10414,99.09,65960,6,459,741
majoreh,10412,96.69,145012,74,1079,1465
Crystal,10410,98.57,107210,833,4468,1102
Toonmasta,10399,97.35,92301,30,552,614
Rucker,10398,99.49,179892,3827,4428,867
-Wolfy-,10391,97.49,91018,200,1657,1081
qtz,10380,99.21,61614,59,1216,1311
chokma,10380,98.64,67917,105,972,855
GSBlank,10379,98.78,139929,90,4178,3323
Glitter Goose,10375,99.55,69153,17,367,719
AxelOsu,10375,99.03,98081,158,1440,1113
Garch,10375,97.52,169725,23,2450,1966
-Snowy-,10370,97.62,81413,101,1857,1317
ftg,10367,99.04,121965,58,1091,948
Failing,10364,97.89,56611,111,1039,653
CPUGeek,10363,99.41,127122,292,1662,681
dartzy,10363,98.29,123616,54,395,564
Zabijaka,10361,98.62,163796,119,1327,1444
AstroFP,10360,99.59,101967,368,1796,2253
Titus,10359,98.99,79593,175,1732,1398
Landegre-,10350,98.90,80787,203,985,1104
Calideon-,10348,97.61,13366,30,307,881
Yentis,10347,99.34,74189,364,3656,927
KwAIMSuckASFuk,10343,96.53,47772,12,518,884
Splinter572,10339,98.33,218412,712,1939,970
Saimonea,10337,98.31,87061,239,796,393
Fr0zen,10335,97.16,81345,22,438,604
Hellbeak,10333,98.80,81713,57,1138,1064
Sheba,10331,99.20,124546,2118,2120,223
Venrue,10331,98.25,83795,23,327,791
AtHeoN,10331,99.04,140205,107,1840,892
kiiro127,10329,97.84,92868,54,853,1726
headstack,10326,98.42,69156,121,727,695
-Yulia-,10322,96.86,114135,20,705,1042
DomenCherry,10322,98.17,52520,69,754,1694
SgtCataclyst,10322,98.43,54698,32,787,1067
Avenging_Goose,10321,99.25,60878,183,1029,1158
Takane,10316,97.85,48120,46,907,842
nickerdead3,10315,99.08,89660,33,1094,1033
Senjougahara H,10315,95.36,82591,28,628,960
haruchi,10312,98.25,81276,30,671,691
Gomo Pslvarh,10308,98.69,78004,2700,3347,784
-Visceral-,10308,98.84,95673,136,995,1828
YesTak,10307,98.56,124443,111,1295,1585
Lolisim,10299,98.98,94333,272,1149,730
Rlsc,10298,98.96,163431,3889,1677,1496
Forse,10293,96.16,51532,29,882,1702
Rekens,10283,97.97,145876,280,3335,2319
_WinRAWR,10279,98.82,129377,76,765,881
GGBY,10279,98.62,215553,1538,13605,465
Shiny Chariot,10276,98.69,166031,62,786,706
Haida,10274,99.42,56028,982,2243,168
MrPotato,10269,99.12,146830,156,1598,1199
Aldrouch,10267,97.55,92080,12,416,1038
Hidemi,10267,97.62,41774,4,160,576
Yasen,10265,97.94,120546,44,339,749
Shironi,10263,98.48,46790,7,448,762
Kellyad,10261,95.78,77681,5,319,794
favela,10260,99.53,78688,81,1120,356
Save Me,10260,98.85,34237,16,154,250
yuilemo,10260,98.83,55982,69,1098,789
Fenrir,10255,99.46,92376,291,2305,613
Harpy,10252,99.28,58882,83,984,1016
Razuh,10248,97.25,87985,190,1329,1834
Too Slow,10248,98.01,106103,104,1233,2181
Reillia,10248,98.87,77042,132,1202,876
SeeL,10247,99.01,119173,76,997,795
datlizad,10246,98.12,109871,263,1379,1274
[Lunatic Bell],10245,98.29,148623,21,1141,870
shineroo,10241,98.99,58645,156,1187,640
Raikouhou,10240,97.63,46083,43,358,607
xClusion,10238,98.82,45550,61,865,804
fojo,10226,97.00,43355,6,550,1405
Texats,10220,98.77,100369,83,1461,1251
GHAngeloid,10215,99.01,160908,423,4461,1090
oxycodone,10214,97.51,194253,63,1186,1113
Lantana_2,10210,97.41,84720,25,1130,2055
Unikenl,10207,98.69,76213,98,857,1229
Astris,10203,99.05,156436,41,763,1365
ChaosRaidz,10198,95.36,53202,1,66,281
heikneuter,10197,98.42,168456,18,510,1064
zeta,10195,98.11,83315,51,747,973
Chitogod,10194,98.93,46164,14,756,684
Tofunim,10188,97.15,88189,4,381,1042
Nakano-,10185,98.52,215483,708,3164,233
semaphore,10182,98.26,67847,258,1075,876
IDAN,10180,99.37,100474,90,648,811
Zavarka,10178,98.51,178754,1720,1792,1125
_Criller,10178,98.17,49632,62,566,967
Ayeka,10173,99.01,72744,74,703,928
Vivace,10169,98.20,85877,27,700,848
MaKenanbuReraaa,10168,97.83,167811,115,2685,1290
nomaiza,10167,97.79,112285,15,920,1103
Meltina,10165,99.17,110965,165,1987,937
-Miky-,10165,98.99,72392,162,839,700
872316468,10163,98.28,108456,11,2337,618
Shimotsuki,10160,98.52,48010,15,343,659
Maliszewski,10157,94.81,35560,126,1226,886
bahamete,10156,98.54,103868,164,1059,534
Kieg,10154,98.40,80077,52,320,338
Tiger Claw,10154,97.97,131021,49,1114,1568
Vandabe,10153,98.86,131480,132,1778,1018
[- Hibiki-],10151,97.45,59970,31,411,569
Daren,10151,98.67,140248,52,906,2178
Miko,10149,98.81,95619,8,523,1030
Yuuki-chan,10148,98.66,134835,135,1086,1196
[ ATChunG ],10147,98.63,72223,40,634,847
agnes98170926,10146,98.42,115694,81,243,611
Gwelawyr,10146,99.23,7219,20,116,34
Chorus,10145,96.19,82084,29,1051,1570
Doge Owner,10144,98.27,95029,246,1128,756
xPikachu,10144,96.12,54356,61,761,887
La Valse,10141,98.61,61314,366,4751,887
Jameslike,10140,98.65,65219,100,1715,1081
onyaga,10139,99.25,134474,189,877,1776
zonelouise,10139,98.78,45246,156,821,584
NiuCriu,10138,96.08,71992,17,490,594
Loli_Schwi,10133,98.59,107356,309,3473,996
Kris-,10131,97.57,177728,14,454,788
[Deadline],10129,98.63,154227,114,1210,2182
explosionboom,10129,99.28,70447,145,1059,1149
ShaneLiang,10126,98.41,67177,27,849,1162
-Trinity-,10120,97.24,122416,21,585,886
Bonk,10120,99.25,30902,208,533,361
Koalazy,10114,97.42,130675,363,2805,879
BoshyMan741,10113,97.71,73623,131,1049,1491
My Aim Trash,10112,98.93,169399,214,1677,1869
