Moyaso,99.17,47121,5345,707,2602,171
homu-homu-tan,97.03,61051,5343,95,1766,336
Chamosiala,98.65,28873,5342,355,1501,603
H u y o n a,98.36,103143,5338,116,1564,754
Takane Enomoto,98.67,18846,5337,48,466,228
Durker,98.56,39310,5335,284,1776,352
Nagashurai,99.1,80427,5332,468,3067,1036
KinomiCandy,99.57,68206,5328,401,742,608
Cerkie,99.03,48262,5325,190,639,485
Camellia-,97.87,37786,5320,23,1185,543
RealCuT,98.81,46393,5309,189,1177,482
xiAmME,99.09,74222,5307,127,1123,349
adi77715,97.97,148106,5301,129,1626,1230
jantan,98.55,78711,5299,147,1670,419
k0achuuuun,99.04,10721,5295,31,201,242
nomen,99.28,75756,5293,158,1810,340
HaruNo Kaede,98.03,37837,5292,83,1118,84
GladiOol,98.7,70492,5289,419,3008,508
Windham,98.82,78306,5278,203,1348,422
- Ruby Rose -,99.18,31725,5275,181,1141,261
KoTo,97.58,102442,5272,81,1980,867
Reisen Udongein,98.75,52430,5269,217,1614,483
aliente,99.36,9875,5267,542,240,6
YuyuKo sama,99.27,79775,5266,799,1752,726
Kairi,98.93,79453,5259,396,1817,477
randomizer89,96.82,128809,5257,103,1770,1221
Lunchaniru,99.26,65149,5253,605,1229,258
Kert,98.01,102971,5251,297,1200,616
Sooki,98.28,35242,5337,15,555,404
-Soba-,98.94,80963,5336,182,2034,362
ShokugonoOyatsu,98.05,26943,5335,58,691,423
hard to freeze,99.4,88370,5331,178,3189,583
Huang Melin,98.93,41784,5328,203,2180,340
DrakRainbow,98.24,76415,5321,134,1424,315
Jemmmmy,96.8,55662,5319,11,958,824
Cecile,98.52,62678,5308,246,1577,467
kogumano-putaro,98.35,72921,5306,472,2496,406
rinkon,98.63,67778,5300,77,1364,188
Musty,98.3,56270,5298,67,919,842
qazok4444,99.1,78937,5294,392,2191,49
dabanlong,96.45,50722,5292,35,1521,1025
-Marika,98.61,66041,5289,71,976,614
buny,97.75,69863,5285,7,559,347
-Konpaku-,98.6,41614,5276,49,571,498
ShiraKai,97.81,55644,5273,399,2311,579
Mephix,99.12,92396,5270,794,7231,1212
[Twinkle],97.74,84856,5268,158,1387,424
[Sayori],98.16,84312,5266,62,2115,417
M0ua7on3w,98.95,43528,5266,27,431,211
Shiro,99.02,44009,5257,449,2428,596
Slizzer,98.53,52476,5253,96,1500,865
Reclude,97.85,74530,5253,1796,2684,373
-HERO-,98.93,67884,5249,109,459,380
an10103,95.8,40622,5248,15,493,619
KEY,99.95,2538,5247,131,22,5
Cha_role,98.19,20206,5244,107,1242,941
C00LZ,99.32,51180,5243,450,1429,376
fabriciorby,99.03,60979,5231,622,923,34
Teae,98.21,66732,5230,282,1972,281
Neutron Star,98.23,42426,5228,346,3093,504
forevehappy,99.05,78396,5223,251,2334,107
Supi,98.26,104807,5221,148,3649,1124
LuclFer,98.57,64175,5216,98,582,243
kamigakami-yu,97.82,44947,5213,339,2831,799
Gtan,98.2,46626,5208,24,1298,857
BiG_ChilD,97.55,47328,5202,294,2226,917
Kysaiz,98.27,18525,5198,16,366,453
- Haruka Wawa -,98.49,56925,5190,345,1269,267
Restia,98.99,92486,5182,231,1729,698
Remilia_CO,96.44,22469,5181,3,799,586
AisakaTaiga,99.36,51396,5178,524,726,2
a12456,97.81,79818,5176,39,2919,759
-Easley-,98.42,65779,5174,174,1127,200
S t o r y,98.57,21472,5171,66,676,482
heetami,98.17,56791,5170,119,1664,763
E n d e r,98.7,62166,5163,165,1547,228
Drew,99.05,81507,5156,280,2606,1612
Snepif,98.21,53191,5154,84,1284,470
Miroku,98.7,68902,5248,203,4216,1173
Furudo_Erika,98.58,49780,5247,74,903,125
Popo[Mikoto],98.89,67963,5244,50,1129,270
S4suk3,98.95,140184,5234,317,2648,1053
-Gio,97.45,63918,5231,20,1035,386
dukambe,97.6,30173,5230,8,608,297
Callum,98.53,60181,5228,109,1377,730
ChAoS CrOsS,98.31,41451,5222,319,2525,611
LZStorm,97.19,29929,5218,31,1139,614
NizzE,98.85,51385,5215,115,1376,927
Mayis,98.68,51209,5211,72,1152,399
Synchrostar,99.25,57556,5207,162,2114,1596
Kardet,98.94,51736,5198,134,1591,877
Deadlyneliel,98.32,58402,5198,15,990,323
YuaKKuma,98.86,82284,5187,504,3753,163
Ackane-,97.24,22857,5181,25,522,396
PeteX,98.56,58227,5179,102,1407,714
